fr_Nhpyrrole,fr_SH,fr_amide,fr_benzene,fr_bicyclic,fr_guanido,fr_imidazole,fr_para_hydroxylation,fr_phenol,fr_sulfide,AvgIpc,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxAbsEStateIndex,MaxEStateIndex,MinEStateIndex
0,0,7,1,0,0,0,0,0,0,3.013031807089909,0.6875,1.166666666666667,1.625,13.25087062793651,13.25087062793651,-1.781868690937192
0,0,6,1,0,0,0,0,0,0,3.037338476598207,0.673469387755102,1.142857142857143,1.612244897959184,13.17185418802722,13.17185418802722,-1.836138238262295
0,0,6,0,0,1,0,0,0,1,3.783160104117417,0.8627450980392157,1.490196078431373,2.058823529411764,13.64063332120421,13.64063332120421,-1.720391376617477
0,0,6,1,0,0,0,0,1,0,3.579721529713963,0.7407407407407407,1.259259259259259,1.814814814814815,13.97096230050279,13.97096230050279,-1.529266440160338
0,0,7,0,0,0,0,0,0,1,3.566620796453268,0.7735849056603774,1.377358490566038,1.924528301886792,13.73734731223409,13.73734731223409,-1.462269639412185
0,0,7,0,0,1,0,0,0,0,3.195605112090387,0.5737704918032787,1.0,1.475409836065574,13.9415898684084,13.9415898684084,-1.64957809816205
0,0,8,0,0,0,0,0,0,0,3.131341673912566,0.4603174603174603,0.8571428571428571,1.26984126984127,13.61438876669889,13.61438876669889,-1.984190162497447
1,0,7,0,0,0,1,0,0,0,4.010045519163929,0.6,1.0,1.446153846153846,14.41850391730351,14.41850391730351,-1.170841561244394
0,0,9,1,0,1,0,0,0,0,4.163705851647056,0.6351351351351351,1.148648648648649,1.662162162162162,14.01426109188948,14.01426109188948,-1.246813939110293
0,0,3,1,0,1,0,0,0,0,2.839815450278254,0.8461538461538461,1.384615384615385,1.923076923076923,13.29276803239916,13.29276803239916,-1.213109058997997
0,0,5,1,0,0,0,0,1,0,2.874085704310281,0.8780487804878049,1.463414634146341,1.975609756097561,12.99222593662098,12.99222593662098,-1.569551325772952
0,0,4,2,0,1,0,0,0,0,2.963935497013455,0.7209302325581395,1.209302325581395,1.720930232558139,13.39143132759429,13.39143132759429,-1.328368322127342
1,0,4,0,0,1,1,0,0,0,3.794774153467814,1.0,1.688888888888889,2.311111111111111,13.67685676543926,13.67685676543926,-1.11601161055573
0,0,5,2,0,0,0,0,0,0,3.776841825295481,0.7346938775510204,1.26530612244898,1.816326530612245,13.71522067580672,13.71522067580672,-1.089316230311512
0,0,5,0,0,0,0,0,0,0,3.522556000619514,0.8163265306122449,1.448979591836735,1.979591836734694,13.86943347561119,13.86943347561119,-1.280091871665159
0,0,7,0,0,0,0,0,0,0,2.952674274836992,0.5306122448979592,0.8775510204081632,1.244897959183674,13.37178276067043,13.37178276067043,-1.720393494220431
1,0,6,0,0,0,1,0,0,1,3.64229665249857,0.7636363636363637,1.309090909090909,1.818181818181818,13.64362332921413,13.64362332921413,-1.580591631303939
0,0,8,0,0,0,0,0,0,0,3.883017468025812,0.7241379310344828,1.275862068965517,1.775862068965517,13.89803177770616,13.89803177770616,-1.650269596170057
0,0,6,0,0,0,0,0,0,0,3.105495883316365,0.5272727272727272,0.9272727272727272,1.309090909090909,13.72077797574867,13.72077797574867,-1.770774101107929
1,0,7,0,0,0,1,0,0,0,3.891954510797124,0.85,1.45,2.016666666666667,14.01428544851542,14.01428544851542,-1.77794981167324
1,0,3,0,0,0,1,0,0,0,3.524933025607996,1.285714285714286,2.028571428571428,2.628571428571429,13.19219356976797,13.19219356976797,-1.136051884890268
0,0,6,2,0,0,0,0,0,0,3.890377138508974,0.6724137931034483,1.172413793103448,1.672413793103448,14.19476754956219,14.19476754956219,-1.474749051569014
0,0,5,1,0,0,0,0,0,0,3.721879215181223,0.8085106382978723,1.340425531914894,1.851063829787234,14.01077314622273,14.01077314622273,-1.448941520355459
0,0,5,0,0,0,0,0,0,0,3.546273540036777,0.8974358974358975,1.461538461538461,1.974358974358974,13.52504966021966,13.52504966021966,-1.41057016101496
0,0,6,0,0,0,0,0,0,0,3.722537765165318,0.673469387755102,1.102040816326531,1.489795918367347,13.71710385058593,13.71710385058593,-1.603744465861105
0,0,4,0,0,0,0,0,0,0,3.545947438349475,0.8918918918918919,1.513513513513514,2.027027027027027,13.3923420977538,13.3923420977538,-1.549467175403982
0,0,5,1,0,0,0,0,1,0,3.583326962479621,0.8823529411764706,1.509803921568627,2.058823529411764,14.06236798029412,14.06236798029412,-1.285403346504298
